ranking	app_name	publisher	ranking_type	ranking_change	has_in_app_purchases	report_date
69	Kingdoms at War	A Thinking Ape, Inc.	Grossing	▼2	1	2013-07-06
70	Sniper Shooter by Fun Games for Free	Fun Games For Free	Free	▼2	1	2013-07-06
70	Emoji Art - New Emoticons, Smiley Icons and Fonts for Texts, Emails & MMS Messages	Tap Nation	Paid	▲3	0	2013-07-06
70	Secret Passages: Hidden Objects	Pocket Gems, Inc.	Grossing	▼1	1	2013-07-06
71	Temple Run 2	Imangi Studios, LLC	Free	▼7	1	2013-07-06
71	Tiger Woods PGA TOUR® 12	Electronic Arts	Paid	▼1	1	2013-07-06
71	Slacker Radio	Slacker, Inc.	Grossing	▲5	1	2013-07-06
72	Photo Editor by Aviary	Aviary	Free	▼5	1	2013-07-06
72	PicFrame	ActiveDevelopment	Paid	▼3	1	2013-07-06
72	Bingo!™	Shark Party	Grossing	▲3	1	2013-07-06
73	Sing! Karaoke by Smule	Smule	Free	▼1	1	2013-07-06
73	Eden - World Builder	Kingly Software Inc	Paid	▼5	0	2013-07-06
73	Comics	comiXology	Grossing	▼11	1	2013-07-06
74	Cheerleader Makeover	Ninjafish Studios	Free	▼18	1	2013-07-06
74	NOAA Radar Pro – Storm Alerts, Hurricane Tracker & Weather Forecast	Tap Nation	Paid	▲10	0	2013-07-06
74	Scramble With Friends	Zynga Inc.	Grossing	▼2	1	2013-07-06
75	Dream Talk Recorder Pro	MobiUtil	Free	(new)	0	2013-07-06
75	Iconical - Customize your iPhone	DAP Logic	Paid	(new)	0	2013-07-06
75	OkCupid Dating	OkCupid.com	Grossing	▼2	1	2013-07-06
76	Find My Friends	Apple	Free	▼1	0	2013-07-06
76	MotionX GPS Drive	MotionX™	Paid	▲2	1	2013-07-06
76	Jurassic Park™ Builder	Ludia	Grossing	▼19	1	2013-07-06
77	Real Estate by Zillow – Homes & Apartments, For Sale or Rent	Zillow.com	Free	▼7	0	2013-07-06
77	Emoji ;)	Emoji+	Paid	▲4	1	2013-07-06
77	Immortalis	Aeria Mobile	Grossing	▲2	1	2013-07-06
78	Craigslist.	Lifelike Apps, Inc	Free	▼4	1	2013-07-06
78	Legends of Ooo - Adventure Time	Cartoon Network	Paid	▲12	1	2013-07-06
78	MotionX GPS Drive	MotionX™	Grossing	=	1	2013-07-06
79	iHeartRadio	Clear Channel Management Services, LP	Free	=	0	2013-07-06
79	Doodle God™	JoyBits Ltd.	Paid	▼38	1	2013-07-06
79	Heads Up!	Warner Bros.	Grossing	▼5	1	2013-07-06
80	Dropbox	Dropbox	Free	▲3	1	2013-07-06
80	Bodyweight Training: You Are Your Own Gym	Hard Coded Studios	Paid	▼16	0	2013-07-06
80	FANTASICA -TCG card game-	Mobage, Inc.	Grossing	▼10	1	2013-07-06
81	iBooks	Apple	Free	▼1	0	2013-07-06
81	NBA JAM by EA SPORTS™	Electronic Arts	Paid	▲4	1	2013-07-06
81	Smurfs' Village	Beeline Interactive, Inc.	Grossing	▼4	1	2013-07-06
82	Split Pic 2.0 - Clone Yourself, + Photo Filters and FX !	Easy Tiger Apps, LLC.	Free	▲45	1	2013-07-06
82	The Whole Pantry	Belle Gibson	Paid	(new)	0	2013-07-06
82	Ayakashi: Ghost Guild	Zynga Inc.	Grossing	▲29	1	2013-07-06
83	Subway Surfers	Kiloo	Free	▼7	1	2013-07-06
83	GarageBand	Apple	Paid	▼1	0	2013-07-06
83	Sing! Karaoke by Smule	Smule	Grossing	▲3	1	2013-07-06
84	Emoji New Style Free – My Emoticon Catalog	Emoji Icons Free and Color Texting Messages Pro Studio	Free	▲3	0	2013-07-06
84	Angry Birds Space	Rovio Entertainment Ltd	Paid	▼1	1	2013-07-06
84	Jetpack Joyride	Halfbrick Studios	Grossing	▲6	1	2013-07-06
85	Hotels.com – Hotel Booking and last minute hotel deals	Hotels.com	Free	▲3	0	2013-07-06
85	Ninja Warrior Game	Marvelous AQL Inc.	Paid	▼8	1	2013-07-06
85	Bike Race Free by Top Free Games	Top Free Games	Grossing	▼1	1	2013-07-06
86	iTunes U	Apple	Free	▲10	0	2013-07-06
86	Kingdom Rush Frontiers	Ironhide Game Studio	Paid	▼7	1	2013-07-06
86	Castle Story™	TeamLava	Grossing	▼4	1	2013-07-06
87	Yelp	Yelp	Free	▼2	0	2013-07-06
87	Couch-to-5K	The Active Network, Inc.	Paid	▼11	1	2013-07-06
87	Geocaching	Groundspeak Inc.	Grossing	▼4	1	2013-07-06
88	Pic Collage	Cardinal Blue	Free	▲4	1	2013-07-06
88	Geocaching	Groundspeak Inc.	Paid	▼8	1	2013-07-06
88	TRANSFORMERS Legends	Mobage, Inc.	Grossing	▼1	1	2013-07-06
89	Minecraft – Pocket Edition Lite	Mojang	Free	▲1	0	2013-07-06
89	Zombieville USA 2	Mika Mobile, Inc.	Paid	▼2	0	2013-07-06
89	Slots™	Shark Party	Grossing	▲2	1	2013-07-06
90	Bubble Mania™	TeamLava	Free	▼6	1	2013-07-06
90	VintiqueCam	GMY Studio	Paid	▲2	1	2013-07-06
90	FIFA SOCCER 13 by EA SPORTS	Electronic Arts	Grossing	▲2	1	2013-07-06
91	Nike+ Running	Nike, Inc.	Free	▲9	0	2013-07-06
91	Grand Theft Auto III	Rockstar Games	Paid	=	0	2013-07-06
91	Car Town Streets	Cie Games	Grossing	▲2	1	2013-07-06
92	Tango Text, Voice, and Video	TangoMe, Inc.	Free	▲3	1	2013-07-06
92	iDownloader Pro - Downloads and Download Manager	Apps4Stars	Paid	▲3	0	2013-07-06
92	Slots - House of Fun	Pacific-Interactive ltd	Grossing	▲13	1	2013-07-06
93	Followers + for Instagram - Follow Management Tool for iPhone, iPad, iPod	Tappple	Free	▲8	1	2013-07-06
93	Temple Run: Brave	Disney	Paid	▲5	1	2013-07-06
93	Words With Friends Free	Zynga Inc.	Grossing	▲8	1	2013-07-06
94	SoundCloud	SoundCloud Ltd.	Free	▲10	1	2013-07-06
94	Diptic	Peak Systems	Paid	▼1	1	2013-07-06
94	Lord of the Dragons	KLab Global Pte. Ltd.	Grossing	▼14	1	2013-07-06
95	Hay Day	Supercell	Free	▼2	1	2013-07-06
95	NOAA Hi-Def Radar	WeatherSphere	Paid	▲33	0	2013-07-06
95	Camera+	tap tap tap	Grossing	▲4	1	2013-07-06
96	InstaCollage Pro - Pic Frame & Pic Caption for Instagram FREE	click2mobile	Free	▲2	0	2013-07-06
96	Running for Weight Loss PRO: training plan, GPS, how-to-lose-weight tips by Red Rock Apps	GRINASYS CORP.	Paid	▼8	0	2013-07-06
96	NYTimes	The New York Times Company	Grossing	▼7	1	2013-07-06
97	Walgreens	Walgreen Co.	Free	▼16	0	2013-07-06
97	Earn to Die	Not Doppler	Paid	▲5	0	2013-07-06
97	Zombies Ate My Friends	Glu Games Inc.	Grossing	▼9	1	2013-07-06
98	Banana Kong	FDG Entertainment	Free	▼21	1	2013-07-06
98	Riddle Me That	Gummy Crush	Paid	▼9	1	2013-07-06
98	MeetMe - Meet New People	myYearbook.com	Grossing	▼4	1	2013-07-06
99	Dragon City Mobile	Social Point	Free	▲30	1	2013-07-06
99	Craigslist`	Lifelike Apps, Inc	Paid	▲9	0	2013-07-06
99	Kingdom Rush Frontiers	Ironhide Game Studio	Grossing	▼14	1	2013-07-06
